Region,Bank,API,Channel,OrderPriority,OrderDate,OrderID,APISold,TotalCost,TotalProfit
Sub-Saharan Africa,3,3,Offline,C,9/19/15,748350751,2472,224778.96,156057.36
Central America and the Caribbean,3,1,Online,L,8/12/15,105630385,7233,409894.11,181258.98
Asia,1,6,Offline,L,12/30/13,691140305,2630,692557.9,457278.1
Sub-Saharan Africa,2,8,Offline,H,10/8/15,308054339,8980,2364703.4,1561352.6
Sub-Saharan Africa,2,4,Offline,H,9/29/11,879858815,8631,59726.52,20800.71
Europe,1,8,Online,H,9/28/12,800352561,963,87565.59,60794.19
Sub-Saharan Africa,2,3,Online,L,7/1/15,783646905,7388,1177794.96,708213.68
Europe,2,10,Offline,C,1/8/14,714165675,6348,201802.92,99409.68
Asia,2,9,Offline,H,12/20/10,996645200,8317,3033126.73,475732.4
Middle East and North Africa,2,2,Offline,M,11/2/13,306134307,799,419443.04,100873.75
Asia,3,6,Offline,M,1/20/16,537994325,3331,324572.64,183671.34
Asia,2,7,Online,M,11/20/15,957899081,2480,290432.8,219703.2
Asia,3,2,Online,M,9/4/12,451834905,6844,3592826.24,864055
Sub-Saharan Africa,1,6,Online,H,8/13/10,676100623,2054,327448.68,196896.44
Australia and Oceania,3,9,Offline,M,12/15/14,207307565,5770,562228.8,318157.8
Asia,1,7,Offline,H,1/29/13,392379558,2685,428042.7,257384.1
Australia and Oceania,2,6,Online,M,3/1/16,398552930,9524,2507954.92,1655937.88
Middle East and North Africa,3,1,Offline,L,7/6/17,363376510,39,20473.44,4923.75
Middle East and North Africa,2,5,Offline,H,6/29/11,944711625,18,1636.74,1136.34
Sub-Saharan Africa,2,8,Online,C,6/18/12,170732104,2279,1145288.66,377698.67
Europe,1,9,Offline,L,2/22/13,189924275,1668,53025.72,26120.88
Asia,2,9,Offline,L,2/6/11,521086966,68,2437.12,4993.92
Asia,3,8,Online,M,7/11/12,303331506,1388,506189.72,79393.6
Europe,3,3,Online,H,4/30/13,546081721,6571,2396377.99,375861.2
Europe,1,9,Online,C,6/26/10,979073941,8591,1369577.22,823533.26
Sub-Saharan Africa,1,8,Offline,L,5/21/13,502356994,7453,677701.29,470507.89
Australia and Oceania,3,1,Online,H,5/7/17,336292207,5192,1893470.48,296982.4
Sub-Saharan Africa,2,10,Online,H,12/19/14,871553409,876,49642.92,21952.56
Australia and Oceania,1,4,Offline,H,1/16/15,319126927,5604,317578.68,140436.24
Sub-Saharan Africa,1,1,Online,H,2/2/16,560311591,7506,682520.58,473853.78
Europe,3,1,Offline,L,2/7/10,396718728,6742,382069.14,168954.52
Australia and Oceania,2,6,Online,H,8/30/16,500272166,506,3501.52,1219.46
Asia,1,1,Online,L,12/18/10,263208234,8020,781468.8,442222.8
Europe,3,4,Offline,M,12/3/10,948075759,5540,176116.6,86756.4
Europe,2,3,Offline,L,10/19/12,737736070,1352,158332.72,119773.68
Europe,2,6,Offline,L,2/20/10,585362994,773,388463.42,128109.29
Middle East and North Africa,3,6,Offline,M,9/7/12,164442861,1152,183651.84,110430.72
Australia and Oceania,2,9,Online,M,4/29/12,118774497,6868,3605425.28,867085
Australia and Oceania,1,10,Online,M,2/26/17,712469232,4333,690766.86,415361.38
Sub-Saharan Africa,3,6,Offline,C,5/26/17,479950892,6989,1114186.38,669965.54
Sub-Saharan Africa,3,5,Online,H,12/4/11,275955808,311,28279.23,19633.43
Asia,3,3,Offline,M,1/7/12,125532805,6802,1084374.84,652039.72
Asia,3,9,Online,C,11/20/14,574043214,998,35768.32,73293.12
Middle East and North Africa,2,5,Online,H,1/8/15,437160861,4468,253201.56,111968.08
Europe,1,8,Offline,H,7/18/15,850872075,810,129130.2,77646.6
Australia and Oceania,2,5,Offline,H,11/8/16,321475684,654,63725.76,36061.56
Europe,2,5,Offline,C,11/8/12,575583016,6660,3496233.6,840825
Middle East and North Africa,1,4,Offline,M,6/8/17,710117900,8522,3107888.18,487458.4
Asia,1,5,Offline,L,4/5/15,342316663,7962,55097.04,19188.42
Asia,1,7,Offline,C,12/27/10,959728133,3737,984064.21,649752.19
Australia and Oceania,2,9,Offline,C,5/10/10,970213639,6631,602956.83,418615.03
Asia,3,9,Offline,M,5/11/16,651947009,4463,522661.93,395377.17
North America,1,1,Offline,H,5/12/10,803414571,7080,643784.4,446960.4
Sub-Saharan Africa,2,6,Offline,M,6/3/16,493415153,1363,9431.96,3284.83
Central America and the Caribbean,2,10,Offline,L,3/30/14,211060082,6223,3127306.42,1031337.79
Europe,2,2,Offline,H,2/1/11,515773189,7603,2772738.07,434891.6
Asia,3,10,Offline,H,4/15/15,687290799,3475,1824236,438718.75
Sub-Saharan Africa,3,7,Online,C,4/21/17,975661742,8846,61214.32,21318.86
Europe,2,4,Online,H,3/29/16,351247346,750,42502.5,18795
Europe,1,6,Offline,H,1/20/16,554721438,3256,103508.24,50988.96
Asia,3,3,Online,M,3/7/14,247070348,2461,88202.24,180735.84
Asia,1,1,Online,M,12/2/12,859592902,1497,545940.93,85628.4
Australia and Oceania,1,3,Online,L,8/22/15,743900430,5523,502206.39,348666.99
Sub-Saharan Africa,3,4,Online,C,5/25/15,121916759,6733,3383601.82,1115860.09
Asia,1,7,Online,C,11/26/13,635878217,9350,529864.5,234311
Europe,1,3,Offline,C,2/19/10,398333632,4629,542102.19,410083.11
Sub-Saharan Africa,2,9,Online,H,9/22/11,742144334,5855,1541797.15,1018008.85
Europe,1,10,Online,C,12/27/15,370484149,3348,106432.92,52429.68
Europe,1,10,Offline,H,9/29/13,306839406,9454,1507156.68,906260.44
Sub-Saharan Africa,3,3,Online,L,10/26/15,745008933,3554,24593.68,8565.14
Sub-Saharan Africa,2,2,Online,M,5/12/11,599104058,7059,641874.87,445634.67
Europe,1,6,Offline,C,2/9/17,653548610,8412,267417.48,131731.92
Europe,2,6,Online,L,12/31/12,413078916,8086,735259.98,510469.18
Asia,1,1,Online,H,2/6/14,352743804,3585,325984.05,226321.05
Australia and Oceania,1,8,Online,L,11/2/13,567904603,4447,708940.74,426289.42
North America,3,6,Online,C,6/27/10,324235141,7238,705270.72,399103.32
Europe,2,2,Online,M,12/14/10,307721745,558,54371.52,30768.12
Europe,2,10,Online,C,11/9/11,374663245,35,18373.6,4418.75
Europe,1,7,Offline,C,11/16/10,901670968,3331,302887.83,210286.03
Central America and the Caribbean,2,5,Online,H,7/20/10,535668742,5139,500744.16,283364.46
Asia,2,3,Offline,C,6/21/14,243892896,2183,1097044.82,361788.59
Middle East and North Africa,1,3,Offline,C,12/11/15,163892257,8216,294461.44,603383.04
North America,1,6,Offline,H,11/28/16,953528153,9025,4535423.5,1495713.25
Sub-Saharan Africa,1,6,Online,M,8/3/16,640974414,7428,51401.76,17901.48
North America,1,5,Offline,C,4/8/15,474717366,8273,1318881.66,793049.78
Australia and Oceania,2,3,Online,C,7/4/10,873555839,3440,1254533.6,196768
Sub-Saharan Africa,2,8,Online,M,1/30/16,976601159,6840,801032.4,605955.6
Central America and the Caribbean,2,4,Offline,C,10/1/12,893277156,9416,65158.72,22692.56
Europe,1,4,Offline,L,8/19/12,353320157,4141,1090449.53,719995.67
Australia and Oceania,3,8,Offline,H,7/21/17,956778991,1020,162608.4,97777.2
Sub-Saharan Africa,1,5,Offline,L,4/3/15,324014985,2089,333028.38,200251.54
Europe,2,1,Offline,L,6/20/13,645701968,6416,751377.76,568393.44
Asia,1,5,Offline,L,6/8/13,132826268,5099,35285.08,12288.59
Sub-Saharan Africa,3,10,Offline,L,8/29/13,666686713,6269,2286241.61,358586.8
Europe,3,5,Online,H,9/19/13,148894631,85,44621.6,10731.25
Sub-Saharan Africa,1,4,Online,L,6/18/10,151373851,3741,118926.39,58584.06
Sub-Saharan Africa,1,3,Offline,L,12/16/16,966360700,6461,366144.87,161912.66
Central America and the Caribbean,3,10,Online,M,4/4/13,256404006,4498,717071.16,431178.28
Central America and the Caribbean,2,1,Online,C,10/6/10,704365098,6140,3085595.6,1017582.2
Sub-Saharan Africa,2,3,Online,C,8/5/10,563417804,6703,1068592.26,642549.58
Middle East and North Africa,3,2,Offline,H,12/4/14,407048451,3537,321619.41,223290.81
Asia,1,9,Offline,M,8/21/15,879055869,1021,32457.59,15988.86
Europe,1,6,Online,L,4/3/13,443551385,5566,887331.72,533556.76
Middle East and North Africa,2,10,Online,L,2/25/13,334958827,615,34852.05,15411.9
Europe,1,5,Offline,H,3/11/14,508014523,1642,58849.28,120588.48
Europe,2,3,Online,C,7/8/12,987767302,1150,603704,145187.5
Central America and the Caribbean,1,6,Offline,L,11/28/12,519578492,3677,1340965.13,210324.4
Middle East and North Africa,2,3,Offline,M,6/6/17,619121921,789,76880.16,43505.46
Middle East and North Africa,3,3,Offline,H,1/20/14,622383916,6086,970230.12,583403.96
Asia,3,4,Offline,L,10/5/10,835663306,197,7060.48,14467.68
Middle East and North Africa,1,8,Online,C,8/3/16,285571420,5784,327779.28,144947.04
Middle East and North Africa,3,2,Online,C,2/21/15,769032084,2538,404607.96,243292.68
Sub-Saharan Africa,1,8,Offline,L,10/19/13,103281629,2184,198591.12,137875.92
Central America and the Caribbean,2,5,Online,L,3/24/17,675868880,3476,407074.36,307938.84
Sub-Saharan Africa,3,3,Offline,M,1/4/16,894655168,7200,49824,17352
Sub-Saharan Africa,2,2,Online,M,2/23/13,137814319,1174,8124.08,2829.34
Europe,3,6,Offline,H,9/19/12,103832662,5247,836476.74,502977.42
Middle East and North Africa,1,10,Offline,H,1/25/16,761509025,6298,356907.66,157827.88
Sub-Saharan Africa,2,6,Online,M,6/18/10,799954736,3238,102936.02,50707.08
Asia,2,4,Offline,L,9/29/10,778593623,2010,195854.4,110831.4
Central America and the Caribbean,1,6,Offline,M,2/6/10,877162015,588,154838.04,102235.56
Europe,3,8,Online,H,2/19/14,445708739,3975,225263.25,99613.5
Sub-Saharan Africa,1,5,Offline,M,5/20/14,254595124,9210,4628393.4,1526373.3
Sub-Saharan Africa,3,4,Online,H,10/16/14,244494998,358,57072.36,34317.88
Sub-Saharan Africa,1,3,Online,M,10/22/12,876394689,3519,412110.09,311748.21
Central America and the Caribbean,2,9,Online,L,9/24/10,881593024,1822,12608.24,4391.02
Sub-Saharan Africa,1,10,Online,C,12/1/11,411701333,428,15339.52,31432.32
Asia,2,2,Online,M,1/2/17,588643443,1531,244072.02,146761.66
Europe,3,5,Offline,M,7/24/12,354655683,9353,297331.87,146467.98
Asia,3,9,Offline,L,9/16/12,522286880,5149,184540.16,378142.56
Europe,3,6,Offline,C,6/30/17,624398362,2206,1158061.76,278507.5
Europe,2,9,Online,C,9/5/16,264163959,840,26703.6,13154.4
Sub-Saharan Africa,1,4,Offline,M,3/21/16,465069997,3402,108149.58,53275.32
Europe,3,3,Offline,H,10/16/11,520915305,9270,4866379.2,1170337.5
Australia and Oceania,3,3,Offline,H,4/9/15,245811212,9855,313290.45,154329.3
Europe,1,8,Online,H,2/5/13,424181544,3600,421596,318924
Europe,2,3,Online,H,7/3/15,560762631,979,513935.84,123598.75
Australia and Oceania,2,5,Offline,H,11/2/14,230603301,9496,4985020.16,1198870
Australia and Oceania,2,1,Online,H,2/6/12,429064881,8688,789999.84,548473.44
Asia,3,9,Offline,C,2/17/13,421821200,5122,2574009.88,848869.06
Sub-Saharan Africa,3,2,Online,C,4/10/17,894858586,7396,3882604.16,933745
Asia,1,10,Offline,C,7/27/13,804475867,1141,36272.39,17868.06
Sub-Saharan Africa,3,1,Offline,M,11/5/14,527284371,4018,640549.56,385165.48
Asia,1,1,Offline,M,1/24/16,510207927,718,22825.22,11243.88
Asia,2,3,Offline,C,3/31/13,820482861,7967,724439.31,502956.71
Middle East and North Africa,1,4,Online,M,11/5/14,695658004,9517,2506111.61,1654720.79
Australia and Oceania,3,2,Offline,H,3/25/15,793594682,1157,304672.81,201167.59
Sub-Saharan Africa,3,9,Online,M,8/12/13,942466723,5702,909012.84,546593.72
Sub-Saharan Africa,2,1,Offline,L,4/15/10,590760457,8002,55373.84,19284.82
Sub-Saharan Africa,3,7,Offline,M,5/21/10,157274711,9937,5216527.52,1254546.25
Sub-Saharan Africa,1,4,Offline,L,7/14/12,581120812,5417,172206.43,84830.22
Sub-Saharan Africa,1,5,Offline,H,8/23/12,171722590,5385,37264.2,12977.85
Europe,2,4,Offline,L,4/4/15,458816373,2815,1477762.4,355393.75
Asia,3,9,Offline,H,8/16/14,342450988,7712,245164.48,120769.92
Europe,3,6,Offline,L,8/18/13,142987763,2112,1061364.48,350021.76
Middle East and North Africa,3,9,Offline,L,6/12/12,251100528,5081,182103.04,373148.64
Middle East and North Africa,1,10,Online,L,4/20/12,677775609,7719,2032644.27,1342102.53
Sub-Saharan Africa,2,10,Offline,M,9/15/11,604311835,8156,794720.64,449721.84
Sub-Saharan Africa,2,10,Online,H,3/26/10,632320535,6553,3440062.88,827316.25
Central America and the Caribbean,1,10,Online,L,4/23/12,533725535,101,9841.44,5569.14
Sub-Saharan Africa,1,3,Online,L,11/9/15,600763165,8026,454833.42,201131.56
Australia and Oceania,1,2,Offline,L,1/24/16,295982253,6581,598410.33,415458.53
Sub-Saharan Africa,3,5,Offline,M,10/10/16,502244126,4053,1478088.57,231831.6
Middle East and North Africa,1,1,Offline,L,7/11/11,372722613,5759,326362.53,144320.54
Europe,3,3,Offline,C,1/23/10,480904042,9048,881637.12,498906.72
Middle East and North Africa,1,8,Offline,L,11/6/11,570587241,8299,4170579.46,1375393.27
Asia,1,7,Offline,H,5/27/17,905883538,9925,1162316.75,879255.75
Central America and the Caribbean,2,3,Offline,L,12/13/16,921216762,7366,669790.38,465015.58
Europe,3,5,Online,M,12/7/16,571323239,6097,554400.21,384903.61
Sub-Saharan Africa,2,6,Online,M,6/28/13,781251800,8623,2270694.59,1499281.01
Asia,1,3,Offline,C,5/29/11,296363770,9480,3457261.2,542256
Middle East and North Africa,1,2,Online,H,9/26/12,632332980,236,21459.48,14898.68
Middle East and North Africa,2,4,Offline,H,1/14/13,225145757,4487,1181561.71,780154.69
Europe,3,6,Online,H,9/16/12,281100928,2866,279263.04,158031.24
Middle East and North Africa,1,7,Online,H,3/22/13,726809823,8033,782735.52,442939.62
Europe,3,8,Online,L,4/26/13,659196269,9680,4864587.2,1604266.4
Europe,3,10,Offline,H,10/24/12,595496594,9530,540065.1,238821.8
Middle East and North Africa,1,6,Offline,C,5/14/16,223259627,6340,1669512.2,1102335.8
Sub-Saharan Africa,2,5,Online,H,7/25/14,650346696,894,81291.42,56438.22
Europe,3,7,Offline,H,5/30/10,354931628,1011,57293.37,25335.66
Middle East and North Africa,2,5,Online,M,7/19/15,135500752,6539,637160.16,360560.46
Central America and the Caribbean,1,5,Online,H,3/7/16,860852897,4357,510248.27,385986.63
Middle East and North Africa,1,2,Offline,H,9/23/14,320099389,3377,307070.61,213190.01
Sub-Saharan Africa,3,1,Offline,M,11/16/10,872664058,9542,5009168.32,1204677.5
Asia,2,3,Offline,H,12/16/12,898283231,825,96615.75,73086.75
Asia,3,4,Online,L,6/11/11,647005736,2230,261155.3,197555.7
Australia and Oceania,3,3,Online,C,12/30/12,889192903,795,25273.05,12449.7
Asia,1,1,Online,L,1/2/14,665518558,585,4048.2,1409.85
Europe,2,1,Offline,C,11/29/11,436969029,7701,2808477.69,440497.2
Asia,1,4,Online,H,8/1/16,734843146,5272,1388275.76,916642.64
Europe,1,4,Online,L,3/28/16,810752236,8458,769085.94,533953.54
Europe,1,4,Offline,C,7/8/11,886620128,9453,4962446.88,1193441.25
Sub-Saharan Africa,1,4,Online,M,9/11/11,804683148,2480,904431.2,141856
Australia and Oceania,3,5,Online,L,10/2/15,477490127,8794,4419336.76,1457429.62
Australia and Oceania,3,6,Online,H,3/3/16,337902390,1681,163796.64,92690.34
Europe,1,7,Offline,M,4/10/10,889093768,1458,170746.38,129164.22
Europe,3,9,Online,C,8/6/11,454550588,475,55627.25,42080.25
Asia,1,10,Offline,H,10/24/15,128071677,8110,290662.4,595598.4
Asia,2,10,Online,M,1/30/12,623768365,5776,327325.92,144746.56
Europe,3,10,Online,L,2/18/17,926064479,1913,1004248.48,241516.25
Sub-Saharan Africa,2,5,Online,H,11/28/10,539696347,6997,396519.99,175344.82
Australia and Oceania,3,9,Offline,L,1/18/16,839712798,8532,4287671.28,1414008.36
Asia,2,5,Offline,C,10/31/10,121475160,6054,192456.66,94805.64
Central America and the Caribbean,1,10,Online,H,4/1/16,350657260,6130,219699.2,450187.2
Europe,3,9,Offline,C,6/29/16,413245427,7360,50931.2,17737.6
Sub-Saharan Africa,2,6,Offline,M,10/3/15,165538489,5372,2699644.88,890301.56
Europe,3,8,Online,H,9/18/11,884147775,7829,248883.91,122602.14
Sub-Saharan Africa,1,6,Online,C,6/24/14,315997111,9422,2481095.26,1638203.14
Europe,2,9,Online,C,6/30/12,328322827,6876,1810657.08,1195530.12
Europe,1,6,Online,H,3/22/14,158673751,3944,384303.36,217472.16
Europe,2,1,Offline,L,1/7/14,464911210,6413,624882.72,353612.82
Asia,1,6,Online,L,2/10/11,175209033,7101,1132041.42,680701.86
Middle East and North Africa,3,10,Online,L,5/9/13,538053548,856,430174.24,141864.88
Sub-Saharan Africa,3,4,Online,H,9/26/10,172243583,9559,541708.53,239548.54
Central America and the Caribbean,1,2,Offline,H,1/13/17,916890466,7119,1134910.98,682427.34
Asia,1,1,Online,M,1/4/13,181418025,4480,2351820.8,565600
Europe,3,5,Online,C,10/12/10,395562589,4615,146710.85,72270.9
Europe,2,6,Offline,H,3/1/12,459372985,7529,1200273.18,721729.94
Europe,1,9,Online,L,6/25/12,693210542,5259,1917904.71,300814.8
Asia,1,5,Offline,L,11/24/11,587749087,6871,389379.57,172187.26
Europe,1,9,Offline,L,8/22/11,153974950,3464,23970.88,8348.24
Sub-Saharan Africa,3,9,Online,L,3/23/10,373186957,3169,288157.17,200058.97
Australia and Oceania,1,6,Offline,M,10/17/14,946996438,6145,348237.15,153993.7
Europe,1,10,Online,H,8/18/14,747327220,9587,934157.28,528627.18
Sub-Saharan Africa,3,4,Offline,H,3/23/15,966415631,2716,1364898.64,450122.68
Europe,3,5,Online,M,10/10/11,166810500,1789,64117.76,131384.16
Australia and Oceania,1,3,Offline,H,9/8/15,131373155,5091,1856636.79,291205.2
Sub-Saharan Africa,3,3,Online,L,12/4/12,913277423,7939,721893.27,501189.07
Europe,3,6,Offline,M,3/31/13,386009633,7683,435395.61,192535.98
Europe,3,5,Offline,H,2/8/16,993368613,8702,493142.34,218072.12
Sub-Saharan Africa,1,6,Offline,H,6/13/14,299465692,7408,3888903.68,935260
Middle East and North Africa,1,4,Offline,L,8/26/13,438724696,7242,658515.06,457187.46
Asia,1,10,Offline,H,7/29/12,465881955,3678,968527.74,639493.86
Europe,1,10,Online,L,12/9/14,405986297,9222,1470171.24,884020.92
Sub-Saharan Africa,3,3,Online,M,5/17/10,804399049,8409,4225858.86,1393623.57
Europe,2,6,Online,H,2/4/16,476794040,2807,89234.53,43957.62
Middle East and North Africa,1,2,Offline,L,6/30/12,559157598,6014,340813.38,150710.84
Sub-Saharan Africa,2,6,Online,H,2/18/15,457788550,8660,2280437.8,1505714.2
Middle East and North Africa,3,5,Online,L,4/30/10,999298226,3407,309798.51,215083.91
Europe,3,5,Offline,C,12/21/11,380610454,9946,3627206.74,568911.2
Asia,2,10,Online,C,4/19/12,918961560,2,318.84,191.72
Sub-Saharan Africa,1,2,Online,H,12/25/15,501900374,2329,1222631.84,294036.25
Sub-Saharan Africa,3,5,Online,M,8/5/13,237288224,7713,3876091.02,1278275.49
Asia,3,5,Online,C,9/19/15,403298938,3973,1046210.09,690785.51
Asia,3,3,Offline,H,4/12/11,898418843,955,93055.2,52658.7
Asia,3,5,Offline,L,10/8/16,791446769,5541,539915.04,305530.74
Central America and the Caribbean,2,3,Offline,M,11/22/11,571494042,6642,211149.18,104013.72
Central America and the Caribbean,1,3,Offline,M,6/25/11,797984492,199,52402.67,34600.13
Central America and the Caribbean,2,7,Offline,C,4/16/16,750654447,4187,1102562.71,727993.69
Sub-Saharan Africa,3,5,Offline,L,10/17/16,679552733,3610,129382.4,265118.4
Europe,3,4,Offline,L,2/1/12,455040681,5504,500478.72,347467.52
Europe,2,7,Online,M,9/10/13,917792117,3938,141137.92,289206.72
Europe,3,2,Offline,L,6/27/11,728793370,5009,1319019.97,870914.83
Sub-Saharan Africa,1,6,Offline,C,5/4/15,419343268,1847,12781.24,4451.27
Middle East and North Africa,3,1,Online,M,6/18/13,141053140,9613,1125778.43,851615.67
Sub-Saharan Africa,1,9,Online,C,1/27/14,115846812,501,58672.11,44383.59
Europe,1,5,Offline,M,4/20/11,185960614,8733,60432.36,21046.53
Sub-Saharan Africa,2,2,Offline,C,9/12/11,263943374,5565,2796635.1,922287.45
Sub-Saharan Africa,1,3,Offline,M,4/26/15,782656419,4282,2247878.72,540602.5
Europe,1,6,Offline,H,11/29/11,445273578,5201,2730316.96,656626.25
Asia,1,2,Online,C,1/7/15,275281178,673,353298.08,84966.25
Sub-Saharan Africa,1,4,Online,M,9/24/12,466478049,76,525.92,183.16
Middle East and North Africa,2,4,Offline,H,12/8/16,832975518,4821,1758170.49,275761.2
Europe,2,7,Online,L,1/26/14,359197413,3352,534375.84,321322.72
Middle East and North Africa,2,6,Online,M,5/11/14,349880063,6141,978998.22,588676.26
Asia,2,1,Online,M,2/27/10,380072295,693,182487.69,120491.91
Middle East and North Africa,1,5,Online,C,1/14/10,545135438,6545,3289124.3,1084702.85
Middle East and North Africa,1,3,Offline,C,4/8/12,110743319,264,42086.88,25307.04
Sub-Saharan Africa,2,5,Offline,C,3/9/16,662882268,449,118235.17,78067.63
Sub-Saharan Africa,1,3,Offline,C,11/4/10,257851111,2729,995239.01,156098.8
Sub-Saharan Africa,2,7,Offline,M,8/18/16,172261178,4765,759636.3,456772.9
Europe,3,6,Offline,L,5/14/13,853036296,1251,70894.17,31350.06
Europe,2,6,Offline,M,3/21/12,567412793,8910,61657.2,21473.1
North America,1,9,Offline,H,1/26/14,352939498,1495,53580.8,109792.8
Sub-Saharan Africa,2,8,Online,M,4/14/13,867477738,4795,171852.8,352144.8
Europe,2,5,Offline,H,8/27/16,139201343,1625,427911.25,282538.75
Central America and the Caribbean,3,1,Offline,C,11/22/16,316596639,6836,47305.12,16474.76
Sub-Saharan Africa,1,5,Online,H,7/25/11,918462455,2305,73275.95,36096.3
Europe,1,4,Online,C,6/9/14,183910119,1946,512440.18,338351.02
Europe,1,9,Online,H,11/7/13,922363460,6700,240128,492048
Central America and the Caribbean,3,3,Online,M,5/8/14,163558804,9540,4794231.6,1581064.2
Sub-Saharan Africa,2,9,Offline,L,3/7/10,407544982,472,3266.24,1137.52
Middle East and North Africa,3,7,Online,H,10/22/11,174683320,1531,558340.39,87573.2
Australia and Oceania,3,4,Offline,H,10/27/11,755647647,1786,897536.44,295993.78
Sub-Saharan Africa,1,2,Online,H,6/15/11,361424291,2334,851186.46,133504.8
Sub-Saharan Africa,3,3,Online,H,10/14/16,873312079,1306,208202.52,125193.16
Europe,3,5,Offline,C,4/2/12,192922341,8863,281754.77,138794.58
Europe,2,8,Online,L,6/3/17,792178905,2197,257290.67,194632.23
Sub-Saharan Africa,3,1,Online,C,1/24/15,263318097,531,84652.02,50901.66
Sub-Saharan Africa,2,7,Online,H,7/12/15,768888747,122,64045.12,15402.5
Middle East and North Africa,1,4,Offline,H,1/25/15,491752183,9254,4650505.16,1533665.42
Middle East and North Africa,2,4,Offline,H,10/20/14,385082232,3245,22455.4,7820.45
Central America and the Caribbean,1,7,Offline,C,11/26/16,122365224,9444,3444132.36,540196.8
Central America and the Caribbean,2,6,Online,H,4/6/13,347399985,2231,1121166.74,369743.63
Europe,3,1,Online,M,12/20/11,424297845,8016,254828.64,125530.56
Sub-Saharan Africa,3,2,Offline,M,10/28/10,687482631,243,127565.28,30678.75
Australia and Oceania,2,10,Offline,H,4/6/16,191690671,4384,1154438.72,762246.08
Australia and Oceania,1,9,Online,C,11/9/16,761970794,2945,344888.95,260897.55
Europe,3,4,Online,H,5/23/17,243684327,462,73652.04,44287.32
Europe,2,8,Offline,M,5/7/12,152505099,8503,304747.52,624460.32
Middle East and North Africa,2,7,Online,M,6/4/12,724419438,665,77878.15,58912.35
Asia,2,3,Offline,M,6/16/10,465726172,7579,3808750.66,1256067.67
Europe,1,7,Online,L,6/24/15,203036630,1905,303695.1,182613.3
Sub-Saharan Africa,1,6,Online,M,2/4/11,833274638,3337,1216970.53,190876.4
Sub-Saharan Africa,2,8,Offline,H,4/5/12,173676526,3598,1808138.92,596296.54
Europe,3,10,Offline,C,1/25/16,611791121,1443,140605.92,79567.02
Sub-Saharan Africa,1,7,Offline,C,2/4/13,555479753,7658,2016581.14,1331496.46
Sub-Saharan Africa,2,4,Offline,H,12/4/13,282916247,59,1875.61,923.94
Australia and Oceania,2,3,Online,C,1/20/15,592586934,8497,995083.67,752749.23
Central America and the Caribbean,3,1,Online,M,4/5/10,553290641,9851,353059.84,723457.44
Asia,2,9,Online,C,2/6/17,654138696,3031,108631.04,222596.64
Europe,2,6,Offline,C,7/22/12,554554927,3981,466214.91,352676.79
Europe,1,5,Offline,H,7/11/12,434275662,674,353823.04,85092.5
Sub-Saharan Africa,3,9,Online,L,1/17/15,543349730,8115,459877.05,203361.9
Sub-Saharan Africa,3,7,Offline,C,8/24/11,752138459,3339,532303.38,320076.54
Sub-Saharan Africa,1,2,Online,L,11/7/13,101315677,415,37735.95,26198.95
Asia,2,9,Online,C,7/15/11,851867711,5441,637195.51,482018.19
Europe,3,9,Offline,H,7/27/14,835093390,1547,87668.49,38767.82
Asia,2,10,Online,L,2/28/11,202604043,3893,455909.23,344880.87
Europe,3,8,Online,M,2/6/17,976323497,4674,148586.46,73194.84
Sub-Saharan Africa,3,2,Online,C,5/18/11,298488080,8111,2135869.63,1410259.57
Sub-Saharan Africa,1,2,Online,M,9/9/15,781646621,5460,173573.4,85503.6
North America,1,2,Online,M,12/9/14,158660447,7,48.44,16.87
Europe,2,10,Online,H,1/9/14,732703387,2069,65773.51,32400.54
Sub-Saharan Africa,1,7,Offline,H,5/4/11,827261769,3996,127032.84,62577.36
Central America and the Caribbean,1,8,Online,C,2/15/10,636134421,5166,164227.14,80899.56
Europe,3,1,Online,C,9/10/14,873432672,6992,3513759.68,1158784.16
Europe,1,3,Online,C,6/25/11,523580348,7915,283673.6,581277.6
Central America and the Caribbean,2,7,Online,H,9/17/10,891313779,8409,476538.03,210729.54
Asia,1,5,Offline,M,4/25/12,651681792,5979,214287.36,439097.76
Europe,1,6,Online,M,4/16/17,800045716,161,9123.87,4034.66
Australia and Oceania,2,4,Online,L,5/1/16,602079379,7523,3949274.08,949778.75
Europe,3,2,Online,M,5/10/16,743769109,6662,605775.66,420572.06
Sub-Saharan Africa,2,9,Online,C,12/22/13,181413733,3210,1613153.4,531993.3
Central America and the Caribbean,1,8,Online,C,6/12/14,191624581,4827,33402.84,11633.07
Middle East and North Africa,3,8,Offline,L,9/22/12,321325480,6205,42938.6,14954.05
Sub-Saharan Africa,3,1,Online,H,6/1/12,637752759,4069,2136062.24,513711.25
Sub-Saharan Africa,3,3,Online,L,5/24/14,378455245,2172,77844.48,159511.68
Europe,1,7,Offline,L,1/9/13,201294267,6302,614066.88,347492.28
Sub-Saharan Africa,3,6,Offline,C,2/6/15,834443652,9275,3382499.75,530530
Asia,1,8,Online,M,5/2/13,826389729,5940,695633.4,526224.6
Sub-Saharan Africa,1,3,Offline,M,11/11/12,595931327,8177,743534.61,516214.01
North America,2,10,Offline,H,4/24/12,182179772,9898,560919.66,248043.88
Sub-Saharan Africa,2,6,Offline,M,3/2/15,594558894,2044,14144.48,4926.04
Sub-Saharan Africa,2,6,Online,M,10/26/10,662805020,7589,2767632.41,434090.8
